,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
57,2023-03-30 22:10:00,6095.0,6096.0,6091.0,6092.0,20.0,6097.1186586616905,6100.714102414507,6102.343104790618,,6105.402890728192,red,no,red,no,no,red,no,no,no,red,NA,NA
58,2023-03-30 22:11:00,6091.0,6093.0,6090.0,6090.0,16.0,6095.694926929353,6099.740093104097,6101.902279619524,,6103.112601655373,red,no,red,no,no,red,no,no,no,red,NA,NA
59,2023-03-30 22:12:00,6090.0,6092.0,6090.0,6092.0,8.0,6094.955941543482,6099.036448276452,6101.54862677597,,6102.051341489835,red,no,red,no,no,red,no,no,no,red,NA,NA
60,2023-03-30 22:13:00,6095.0,6098.0,6094.0,6094.0,15.0,6094.7647532347855,6098.578589342229,6101.279032962542,,6102.051341489835,red,no,red,no,no,red,no,no,no,red,NA,NA
61,2023-03-30 22:14:00,6094.0,6095.0,6094.0,6095.0,6.0,6094.811802587828,6098.25326303839,6101.0547817853085,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
62,2023-03-30 22:15:00,6099.0,6101.0,6099.0,6099.0,15.0,6095.649442070263,6098.321148216718,6100.981396721548,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
63,2023-03-30 22:16:00,6100.0,6100.0,6098.0,6098.0,5.0,6096.11955365621,6098.291952924289,6100.874918267206,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
64,2023-03-30 22:17:00,6098.0,6101.0,6098.0,6098.0,10.0,6096.495642924968,6098.265411749354,6100.772242614806,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
65,2023-03-30 22:18:00,6099.0,6099.0,6099.0,6099.0,5.0,6096.996514339974,6098.3321924994125,6100.708948235705,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
66,2023-03-30 22:19:00,6098.0,6100.0,6098.0,6099.0,10.0,6097.397211471979,6098.392902272193,6100.6479143701445,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
67,2023-03-30 22:20:00,6101.0,6101.0,6098.0,6098.0,6.0,6097.517769177583,6098.357183883812,6100.553345999782,,6102.051341489835,red,no,red,no,no,green,no,no,no,red,NA,NA
68,2023-03-30 22:21:00,6098.0,6108.0,6097.0,6106.0,17.0,6099.214215342066,6099.0519853489195,6100.747869356933,,6090.5840760279025,green,no,red,no,no,green,no,no,no,green,WHEN EMA9 CROSSED EMA21 TO GREEN,buy
69,2023-03-30 22:22:00,6106.0,6110.0,6106.0,6108.0,17.0,6100.971372273653,6099.86544122629,6101.006874022757,,6096.075668425112,green,no,red,no,no,green,no,no,no,green,NA,NA
70,2023-03-30 22:23:00,6108.0,6108.0,6105.0,6106.0,12.0,6101.977097818923,6100.423128387537,6101.185199950516,,6096.075668425112,green,no,red,no,no,green,no,no,no,green,NA,NA
71,2023-03-30 22:24:00,6106.0,6106.0,6103.0,6104.0,9.0,6102.3816782551385,6100.748298534125,6101.285728523712,,6096.075668425112,green,no,red,no,no,green,no,no,no,green,NA,NA
72,2023-03-30 22:25:00,6104.0,6104.0,6103.0,6103.0,10.0,6102.50534260411,6100.952998667386,6101.346952505009,,6096.075668425112,green,no,red,no,no,green,no,no,no,green,NA,NA
73,2023-03-30 22:26:00,6103.0,6104.0,6102.0,6104.0,6.0,6102.804274083288,6101.229998788533,6101.441704201258,,6096.075668425112,green,no,red,no,no,green,no,no,no,green,NA,NA
74,2023-03-30 22:27:00,6104.0,6106.0,6099.0,6099.0,18.0,6102.043419266631,6101.027271625939,6101.354500479785,,6096.075668425112,green,no,red,no,no,red,no,no,no,green,NA,NA
75,2023-03-30 22:28:00,6104.0,6104.0,6100.0,6100.0,4.0,6101.634735413305,6100.933883296308,6101.30612546265,,6096.075668425112,green,no,red,no,no,red,no,no,no,green,NA,NA
76,2023-03-30 22:29:00,6100.0,6100.0,6099.0,6099.0,13.0,6101.107788330644,6100.758075723916,6101.223763838984,,6096.075668425112,green,no,red,no,no,red,no,no,no,green,NA,NA
77,2023-03-30 22:30:00,6099.0,6100.0,6096.0,6099.0,17.0,6100.686230664515,6100.598250658105,6101.144343701878,,6096.075668425112,green,no,red,no,no,red,no,no,no,green,NA,NA
