Time : 2023-03-22 09:49:05.918722
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
636  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
637  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
638  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
639  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no

[640 rows x 10 columns]Time : 2023-03-22 12:00:10.426081
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087      no
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
636  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
637  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
638  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
639  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no
640  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no

[641 rows x 10 columns]Time : 2023-03-22 12:00:20.854849
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087      no
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087      no
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
637  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
638  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085      no
639  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no
640  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no
641  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085      no

[642 rows x 10 columns]Time : 2023-03-22 12:00:31.228679
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
638  1084.65  1084.65  1084.65  1084.65  ...   1084   1085    1085   green
639  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
640  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
641  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
642  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green

[643 rows x 10 columns]Time : 2023-03-22 12:00:42.360835
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
639  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
640  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
641  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
642  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
643  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green

[644 rows x 10 columns]Time : 2023-03-22 12:00:52.802697
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
640  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
641  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
642  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
643  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
644  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green

[645 rows x 10 columns]Time : 2023-03-22 12:01:03.259850
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
641  1084.65  1084.95  1084.55  1084.90  ...   1084   1085    1085   green
642  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
643  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
644  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
645  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green

[646 rows x 10 columns]Time : 2023-03-22 12:01:13.632822
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
642  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
643  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
644  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
645  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
646  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green

[647 rows x 10 columns]Time : 2023-03-22 12:01:24.077241
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
643  1085.25  1085.25  1085.25  1085.25  ...   1084   1085    1085   green
644  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
645  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
646  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
647  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green

[648 rows x 10 columns]Time : 2023-03-22 12:01:34.489175
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
644  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
645  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
646  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
647  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
648  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green

[649 rows x 10 columns]Time : 2023-03-22 12:01:44.956285
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
645  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
646  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
647  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
648  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
649  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green

[650 rows x 10 columns]Time : 2023-03-22 12:01:55.330903
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
646  1085.25  1085.65  1085.25  1085.65  ...   1085   1085    1085   green
647  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
648  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
649  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
650  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green

[651 rows x 10 columns]Time : 2023-03-22 12:02:05.704370
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
647  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
648  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
649  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
650  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
651  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green

[652 rows x 10 columns]Time : 2023-03-22 12:02:16.093322
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
648  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
649  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
650  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
651  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
652  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green

[653 rows x 10 columns]Time : 2023-03-22 12:02:26.510705
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
649  1085.05  1085.05  1085.05  1085.05  ...   1085   1085    1085   green
650  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
651  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
652  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
653  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green

[654 rows x 10 columns]Time : 2023-03-22 12:02:37.011552
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
650  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
651  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
652  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
653  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
654  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green

[655 rows x 10 columns]Time : 2023-03-22 12:02:47.403369
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
651  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
652  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
653  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
654  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
655  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green

[656 rows x 10 columns]Time : 2023-03-22 12:02:57.810271
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
652  1085.05  1085.50  1085.00  1085.25  ...   1085   1085    1085   green
653  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
654  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
655  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
656  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green

[657 rows x 10 columns]Time : 2023-03-22 12:03:08.507696
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
653  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
654  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
655  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
656  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
657  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green

[658 rows x 10 columns]Time : 2023-03-22 12:03:18.888284
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
654  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
655  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
656  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
657  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
658  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green

[659 rows x 10 columns]Time : 2023-03-22 12:03:29.337753
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
655  1085.45  1085.45  1085.45  1085.45  ...   1085   1085    1085   green
656  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
657  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
658  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
659  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green

[660 rows x 10 columns]Time : 2023-03-22 12:03:39.944030
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
656  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
657  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
658  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
659  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
660  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green

[661 rows x 10 columns]Time : 2023-03-22 12:03:50.309980
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
657  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
658  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
659  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
660  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
661  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green

[662 rows x 10 columns]Time : 2023-03-22 12:04:00.727977
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
658  1085.45  1085.65  1085.35  1085.65  ...   1085   1085    1085   green
659  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
660  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
661  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
662  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green

[663 rows x 10 columns]Time : 2023-03-22 12:04:11.085297
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
659  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
660  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
661  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
662  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
663  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green

[664 rows x 10 columns]Time : 2023-03-22 12:04:21.433349
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
660  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
661  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
662  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
663  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
664  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green

[665 rows x 10 columns]Time : 2023-03-22 12:04:31.865375
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
661  1085.95  1085.95  1085.95  1085.95  ...   1085   1085    1085   green
662  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
663  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
664  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
665  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green

[666 rows x 10 columns]Time : 2023-03-22 12:04:42.589280
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
662  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
663  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
664  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
665  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
666  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green

[667 rows x 10 columns]Time : 2023-03-22 12:04:52.944612
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
663  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
664  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
665  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
666  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
667  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green

[668 rows x 10 columns]Time : 2023-03-22 12:05:04.242713
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
664  1085.95  1086.00  1085.85  1085.90  ...   1085   1085    1085   green
665  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
666  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
667  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green
668  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green

[669 rows x 10 columns]Time : 2023-03-22 12:05:14.750456
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
1    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
2    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
3    1085.00  1085.40  1085.00  1085.40  ...   1087   1089    1087   green
4    1085.15  1085.15  1085.15  1085.15  ...   1086   1088    1087   green
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
665  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
666  1085.70  1085.70  1085.70  1085.70  ...   1085   1085    1085   green
667  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green
668  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green
669  1085.70  1085.80  1085.30  1085.30  ...   1085   1085    1085   green

[670 rows x 10 columns]Time : 2023-03-22 12:05:25.125806
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1085.00  1085.00  1085.00  1085.00  ...   1087   1089    1087   green
