id,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
537,31-03-2023 15:48,6141,6148,6141,6148,13,6141.121062,6135.513085,6125.569589,6112.324882,6132.794603,green,no,green,green,no,green,green,green,green,green,NA,NA
538,31-03-2023 15:49,6148,6149,6146,6146,20,6142.096849,6136.466441,6126.299246,6112.659958,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
539,31-03-2023 15:50,6146,6147,6144,6144,15,6142.477479,6137.15131,6126.931416,6112.9718,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
540,31-03-2023 15:51,6145,6146,6142,6142,11,6142.381984,6137.5921,6127.46958,6113.260637,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
541,31-03-2023 15:52,6142,6142,6138,6139,14,6141.705587,6137.720091,6127.881381,6113.51675,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
542,31-03-2023 15:53,6139,6141,6139,6139,23,6141.164469,6137.836446,6128.278474,6113.770315,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
543,31-03-2023 15:54,6140,6143,6140,6143,8,6141.531576,6138.30586,6128.804243,6114.061158,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
544,31-03-2023 15:55,6142,6145,6141,6143,14,6141.82526,6138.7326,6129.311234,6114.349106,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
545,31-03-2023 15:56,6143,6146,6143,6146,17,6142.660208,6139.393273,6129.907262,6114.664041,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
546,31-03-2023 15:57,6145,6145,6141,6141,16,6142.328167,6139.539339,6130.303431,6114.92609,6136.065143,green,no,green,green,no,red,green,green,green,green,NA,NA
547,31-03-2023 15:58,6142,6147,6142,6143,22,6142.462533,6139.853945,6130.75688,6115.205432,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
548,31-03-2023 15:59,6144,6146,6144,6146,11,6143.170027,6140.412677,6131.301277,6115.511846,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
549,31-03-2023 16:00,6145,6147,6143,6145,17,6143.536021,6140.829706,6131.790517,6115.80526,6136.065143,green,no,green,green,no,green,green,green,green,green,NA,NA
